0.0009765625,0.477011,0.477011,0.477011,0.477011
0.001953125,0.62931,0.477011,0.477011,0.477011
0.00390635,0.722222,0.477011,0.480843,0.477011
0.0078125,0.737548,0.658046,0.698276,0.477011
0.015625,0.741379,0.677203,0.626437,0.598659
0.03125,0.707854,0.695402,0.644636,0.594828
0.0625,0.749042,0.704981,0.670498,0.614943
0.125,0.750958,0.712644,0.681034,0.635057
0.25,0.751916,0.713602,0.693487,0.645594
0.5,0.748084,0.721264,0.703065,0.659004
1,0.741379,0.712644,0.704981,0.662835
2,0.718391,0.711686,0.703065,0.655172
4,0.699234,0.700192,0.685824,0.619732
8,0.714559,0.68295,0.625479,0.552682
16,0.727969,0.662835,0.576628,0.527778
32,0.753831,0.619732,0.556513,0.518199
64,0.765326,0.58046,0.554598,0.514368
128,0.772946,0.570881,0.560345,0.504789
256,0.775862,0.488506,0.556513,0.498084
512,0.77682,0.409004,0.554598,0.500958
1024,0.775862,0.388889,0.581418,0.504789
